rank,game_name,price,rank_change,weeks_on_chart,game_url
87,Schedule I,"¥2,300",0,40,https://store.steampowered.com/app/3164500/Schedule_I?snr=1_7001_topselling_
88,EA SPORTS FC™ 27,"¥9,800",▼ 37,2,https://store.steampowered.com/app/4080220/EA_SPORTS_FC_27?snr=1_7001_topselling_
89,DEATH STRANDING DIRECTOR'S CUT,"-75% ¥4,980 ¥1,245",New,1,https://store.steampowered.com/app/1850570/DEATH_STRANDING_DIRECTORS_CUT?snr=1_7001_topselling_
90,The Elder Scrolls V: Skyrim Special Edition,"¥4,399",New,1,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition?snr=1_7001_topselling_
91,Shift At Midnight,"¥1,350",▼ 23,7,https://store.steampowered.com/app/3722330/Shift_At_Midnight?snr=1_7001_topselling_
92,The Farmer Was Replaced,"-20% ¥1,200 ¥960",New,1,https://store.steampowered.com/app/2060160/The_Farmer_Was_Replaced?snr=1_7001_topselling_
93,The Loopler,"-10% ¥1,499 ¥1,349",New,1,https://store.steampowered.com/app/4150860/The_Loopler?snr=1_7001_topselling_
94,theHunter: Call of the Wild™,"-85% ¥2,300 ¥345",New,1,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild?snr=1_7001_topselling_
95,"Next Girl, Please 🎬 (hidden by your preferences)","-35% ¥2,156 ¥1,396",New,1,https://store.steampowered.com/app/4602300/Next_Girl_Please?snr=1_7001_topselling_
96,FOR HONOR™,"¥4,180",New,1,https://store.steampowered.com/app/304390/FOR_HONOR?snr=1_7001_topselling_
97,Hell Let Loose: Vietnam,"¥4,950",▼ 74,6,https://store.steampowered.com/app/3079210/Hell_Let_Loose_Vietnam?snr=1_7001_topselling_
98,World of Warships,Free To Play,New,1,https://store.steampowered.com/app/552990/World_of_Warships?snr=1_7001_topselling_
99,The First Descendant,Free To Play,▼ 45,3,https://store.steampowered.com/app/2074920/The_First_Descendant?snr=1_7001_topselling_
100,iRacing® Studios NASCAR 26,"¥7,350",New,1,https://store.steampowered.com/app/4883590/iRacing_Studios_NASCAR_26?snr=1_7001_topselling_
